,solar
2027,1.286847354
2028,1.380236077
2029,0.999441852
2030,0.699147927
2031,0.378062178
2032,0.270099235
2033,0.253782819
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0.097439716
2047,0.471744351
2048,0.509060833
2049,0.889762966
2050,1.284021854
2051,1.622189009
2052,1.537177738
2053,1.553968188
2054,1.676095431
2055,2.36618974
2056,1.493815981
2057,0.458197061
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0.081834808
2071,0.236934467
2072,0.708869789
2073,0.489316564
2074,0.502012991
2075,0.849541612
2076,1.586233836
2077,1.098116645
2078,0.613467842
2079,0.312109305
2080,0.240804675
2081,0.062096896
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0.352394708
2095,1.452447176
2096,3.148605423
2097,4.254010959
2098,4.979848131
2099,5.325336483
2100,5.317944426
2101,4.975367634
2102,4.295911617
2103,3.29299488
2104,1.943523162
2105,0.558294079
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0.283455603
2119,1.04795392
2120,1.812626419
2121,2.553970989
2122,2.351365036
2123,2.238429796
2124,1.493851415
2125,1.42561422
2126,2.521861532
2127,0.999376735
2128,0.322219243
2129,0.087940712
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0.04727201
2143,0.22550309
2144,0.202508829
2145,0.415395177
2146,0.56317881
2147,0.652424058
2148,0.71970692
2149,0.754967853
2150,0.599189141
2151,0.233627216
2152,0.067526458
2153,0.017553789
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0.39566562
2167,0.913448835
2168,1.256839415
2169,1.588911055
2170,1.845690864
2171,1.783365179
2172,1.515552155
2173,2.05386376
2174,1.393857397
2175,1.403264158
2176,0.896844235
2177,0.572132634
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0.43642766
2191,1.798454244
2192,3.189079045
2193,4.243397047
2194,4.935211516
2195,5.271175444
2196,5.255047203
2197,4.606555932
2198,4.079759453
2199,3.083943146
2200,1.829749
2201,0.570688507
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0.356513188
2215,1.320571884
2216,2.50595686
2217,3.945543351
